"Reference","Qty","Manufacturer","Part no.","Description","Value","Footprint","Type","DNP","Exclude from BOM"
"A1","1","","","","HC-SR04","MS_General:HC-SR04","","",""
"C1,C4,C5","3","","","Unpolarized capacitor,Unpolarized capacitor, small symbol","0.1µ","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","SMD","",""
"C2","1","","","Unpolarized capacitor, small symbol","1µ","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","SMD","",""
"CONN1","1","","","AVR ISP header 2x3 HE-10","AVR-ISP","MS_Connectors:AVR_ISP_HE10_2x3","","",""
"CONN2","1","","","Lares Primus Sensor Bus 6-pin IDE header","SENSOR_BUS","MS_Connectors:LP_Sensor_Bus_HE10_2x3","","",""
"D1","1","","","Light emitting diode, small symbol, filled shape","ACT","MS_Favourites:LED_1206_SMD","","",""
"D2","1","","","Light emitting diode, small symbol, filled shape","ALERT","MS_Favourites:LED_1206_SMD","","",""
"J1","1","","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","TPs","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","",""
"J2","1","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","GND","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"J3","1","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","RESET","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"LM1","1","","","3V3 1A voltage regulator","LM1117","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","",""
"R1,R2,R3,R9","4","","","Resistor","1K","MS_Favourites:Resistor_SMD_1206_HandSolder","","",""
"R8","1","","","Resistor","22K","MS_Favourites:Resistor_SMD_1206_HandSolder","","",""
"R10","1","","","Resistor","2K","MS_Favourites:Resistor_SMD_1206_HandSolder","","",""
"U1","1","","","","ATTINY84A","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","",""
